name,type,lat,lng,coord_source,confidence,serves,parking_notes,source_ref,notes
Lincoln Gap - Long Trail trailhead,trailhead,44.0948589,-72.9280531,GP,high,Lincoln Brook,Small lots at the top of Lincoln Gap Rd; fill on fall weekends. Pull-offs on the way up on the Warren side give brook access. Road unpaved near the top and closed in winter.,Google Places; general knowledge (seasonal closure),"Lincoln Brook starts just below the gap and follows the road down to Warren village. Long Trail north to Mt Abraham, Sunset Ledge spur."
Appalachian Gap - Long Trail parking (Rte 17),trailhead,44.2108909,-72.9315067,GP,high,Mill Brook (Fayston),Roadside lot at the top of the gap; free.,Google Places,Mill Brook rises on the Fayston side and follows Rte 17 all the way down past Mad River Glen.
Mad River Glen base lots (Rte 17),parking,44.2024842,-72.9175431,GP,high,Mill Brook (Fayston),"Big lots at the base area, 57 Schuss Pass; normally open off-season, check for events.",Google Places,Mill Brook runs right past the base area along Rte 17.
"Phen Basin Trailhead (Battleground Rd, Fayston)",trailhead,44.2002531,-72.8946697,GP,high,Mill Brook (Fayston),"Park in the signed visitor parking just before the covered bridge at the Battleground (off Rte 17), parallel to the road; do not drive over the bridge.",Google Places (reviews describe parking and trail),Trail climbs about 2 miles up an old logging road beside a small cascading brook that drains to Mill Brook (verify the brook's name against the hydrography layer).
Mad River Path - Millbrook Trailhead (Harris Hill Rd),trailhead,44.1809215,-72.8746255,GP,high,Mill Brook (Fayston);Chase Brook (Fayston),NO PARKING at the trailhead itself (signed). Park across from Fayston Elementary School on German Flats Rd and walk in.,https://madriverpath.org/maps ; https://www.madriverpath.org/news ; Google Places reviews,"Mill Brook Trail: 1.5 mi with a 200-ft bridge over Mill Brook, co-located with the Catamount Trail through Chase Brook Town Forest toward the Battleground. Serves both the Mill Brook and Chase Brook (Fayston) B1 points."
Fayston Elementary School lot (German Flats Rd),parking,44.179671,-72.885404,"geocoded 2026-09-24: Nominatim OSM way/569773662: Fayston Elementary School, 782, German Flats Road, Fayston, Warren, Washington C",low,Mill Brook (Fayston);Chase Brook (Fayston),The sanctioned parking for the Millbrook Trailhead per signage; avoid school hours.,Google Places reviews on the trailhead listing,"Geocode: Fayston Elementary School, German Flats Rd, Fayston VT."
Sugarbush - Lincoln Peak base lots (Gate House Ln),parking,44.1361621,-72.9078617,GP,high,Clay Brook;Rice Brook,Large lots at 62 Gate House Ln off Sugarbush Access Rd; free outside ski season.,Google Places,Clay Brook's B1 survey point is about 1 km east along the access road; Rice Brook about 1.3 km. Clay Brook follows Sugarbush Access Rd down to the Mad.
Sugarbush - Mt Ellen base (Mt Ellen Rd / German Flats Rd),parking,44.1773979,-72.9016908,GP,high,Slide Brook;Chase Brook (Fayston),Lots at 626 Mt Ellen Rd; open off-season. German Flats Rd pull-offs.,Google Places,Slide Brook basin is about 1.5 km south; the Chase Brook (Fayston) point is about 1.4 km east along German Flats Rd.
"Hedgehog Brook Trailhead (end of Big Basin Rd, North Fayston)",trailhead,44.2484187,-72.8733994,GP,high,Shepard Brook,Marked lot before the steel gate at the end of the drivable road; trail crosses private land — obey no-parking signs and don't block the gate.,https://www.greenmountainclub.org/hiking/hiking-recommendations/peoples-choice-leaf-peeping-foliage-vermont/ ; https://madrivervalley.com/attraction/burnt-rock-mountain/ ; https://www.pchapin.org/100highest/burnt-rock.html,The trail immediately crosses Shepard Brook (ladder + stepping stones; a ford in high water) then climbs beside Hedgehog Brook to the Long Trail / Burnt Rock. Directions: North Fayston Rd west from Rte 100 (4.5 mi north of Rte 17); dirt after 2.5 mi; straight at the 4-way at 4.0 mi onto Big Basin Rd; trailhead at 5.0 mi.
"Blueberry Lake Trails parking (1825 Plunkton Rd, East Warren)",parking,44.0801222,-72.8378808,GP,high,Mills Brook,"USFS lot on the east side of Plunkton Rd; trailheads across the road. From Warren Main St: Brook Rd 1.9 mi, right on Plunkton Rd 1.8 mi.",https://www.trailfinder.info/trails/trail/blueberry-lake-gmnf ; https://www.madriverriders.org/trails.html ; https://birdinghotspots.org/hotspot/L751883,Closest USFS lot to the inn (about 10 min). The lake's dam is on Mills Brook; the lake is stocked with brook trout (report p.8). Gentle multi-use trail loops.
